tech,band_indicator,band_width,uarfcn_dl,uarfcn_ul,earfcn_dl,earfcn_ul
3g,band_5_850,5,1007,782,,
3g,band_5_850,5,1037,812,,
3g,band_2_pcs,5,412,12,,
3g,band_2_pcs,5,437,37,,
3g,band_2_pcs,5,512,112,,
3g,band_2_pcs,5,587,187,,
3g,band_2_pcs,5,637,237,,
3g,band_2_pcs,5,662,262,,
3g,band_2_pcs,5,687,287,,
3g,band_4_aws,5,2087,1862,,
3g,band_4_aws,5,2062,1837,,
5g,band_38_2600,20,,,521040,521040
5g,band_38_2600,20,,,520980,520980
5g,band_7_2600,20,,,532000,508000
5g,band_7_2600,10,,,531000,507000
5g,band_26_800,3,,,8775,26775
4g,band_5_850,5,,,2435,20435
4g,band_5_850,5,,,2475,20475
4g,band_2_pcs,5,,,675,18675
4g,band_5_850,1.5,,,2618,20618
4g,band_5_850,0.18,,,2466,20453
4g,band_4_aws,20,,,2250,20250
4g,band_4_aws,0.18,,,2215,20215
4g,band_4_aws,15,,,2225,20225
4g,band_4_aws,10,,,2350,20350
4g,band_4_aws,5,,,2375,20375
4g,band_4_aws,0.18,,,2240,20240
4g,band_5_850,0.18,,,2426,20413
4g,band_38_2600,20,,,37900,-
4g,band_38_2600,20,,,38098,-
4g,band_42_3500,20,,,43240,-
4g,band_42_3500,20,,,43440,-
4g,band_2_pcs,10,,,650,18650
4g,band_7_2600,20,,,3150,21150
4g,band_7_2600,10,,,3200,21200
4g,band_7_2600,10,,,3100,21100
4g,band_26_800,10,,,8740,26740
4g,band_26_800,5,,,8765,26765
4g,band_5_850,10,,,2460,20460
4g,band_46_nii,20,,,46890,46890
4g,band_46_nii,20,,,47091,47091
4g,b46a,20,,,47489,47489
4g,band_7_2600,20,,,3350,21350
